Uniprot,Protein,UNIPROT,MAXFC,P.VALUE,ADJ.P.VAL,LOGFC
MOXD1,MOXD1,MOXD1,2.550041674,0.057455436,0.798626361,-2.550041674
PLOD1,PLOD1,PLOD1,0.756719664,0.058075755,0.798626361,0.756719664
TMOD1,TMOD1,TMOD1,0.869537226,0.058107024,0.798626361,0.869537226
TACC2,TACC2,TACC2,1.521118472,0.058619739,0.798626361,1.521118472
BSG,BSG,BSG,3.308497837,0.060279115,0.798626361,-3.308497837
SSPO,SSPO,SSPO,1.397990957,0.060689696,0.798626361,1.397990957
CTRB1,CTRB1,CTRB1,1.097249219,0.061675449,0.798626361,1.097249219
TRIM71,TRIM71,TRIM71,0.849169634,0.061840791,0.798626361,-0.849169634
PDIA4,PDIA4,PDIA4,1.213756587,0.061940089,0.798626361,-1.213756587
PSAT1,PSAT1,PSAT1,1.467605009,0.062467828,0.798626361,-1.467605009
IMPA1,IMPA1,IMPA1,0.981896299,0.063101884,0.798626361,0.981896299
FPR2,FPR2,FPR2,0.73691765,0.063325705,0.798626361,-0.73691765
CLIC1,CLIC1,CLIC1,1.146757017,0.063671718,0.798626361,-1.146757017
SARDH,SARDH,SARDH,0.786326975,0.063906378,0.798626361,-0.786326975
EVA1A,EVA1A,EVA1A,0.764272116,0.064126707,0.798626361,0.764272116
mor,mor,mor,0.65912225,0.06425768,0.798626361,0.65912225
rps24,rps24,rps24,0.878485171,0.064263599,0.798626361,-0.878485171
GNAI3,GNAI3,GNAI3,0.856985096,0.064315507,0.798626361,-0.856985096
CYC1,CYC1,CYC1,1.929479131,0.066108402,0.798626361,-1.929479131
ADPRHL2,ADPRHL2,ADPRHL2,1.215480247,0.066405028,0.798626361,-1.215480247
SLC39A10,SLC39A10,SLC39A10,1.325389069,0.066723116,0.798626361,-1.325389069
RpS15,RpS15,RpS15,0.813324975,0.067048331,0.798626361,0.813324975
TBCC,TBCC,TBCC,1.209255061,0.067325916,0.798626361,-1.209255061
DARS,DARS,DARS,1.387859764,0.068171299,0.798626361,-1.387859764
MED23,MED23,MED23,0.738705514,0.068420187,0.798626361,-0.738705514
CPD,CPD,CPD,0.724805769,0.069247059,0.798626361,-0.724805769
COL21A1,COL21A1,COL21A1,0.715411737,0.06985097,0.798626361,-0.715411737
SMPDL3A,SMPDL3A,SMPDL3A,0.850470175,0.070557323,0.798626361,0.850470175
ARF1,ARF1,ARF1,1.10927508,0.071951077,0.798626361,-1.10927508
HIS4,HIS4,HIS4,1.011933281,0.072524918,0.798626361,-1.011933281
ACTB,ACTB,ACTB,0.935757425,0.072615822,0.798626361,0.935757425
HP1A,HP1A,HP1A,0.621898619,0.073671297,0.798626361,0.621898619
AMDHD2,AMDHD2,AMDHD2,2.154046283,0.074880925,0.798626361,-2.154046283
RAB3GAP1,RAB3GAP1,RAB3GAP1,1.129640296,0.075069104,0.798626361,1.129640296
CSRP1,CSRP1,CSRP1,1.564428229,0.075713847,0.798626361,-1.564428229
AAMP,AAMP,AAMP,0.628895992,0.076494674,0.798626361,0.628895992
ETHE1,ETHE1,ETHE1,1.205963174,0.076912048,0.798626361,-1.205963174
BBOX1,BBOX1,BBOX1,0.88228459,0.077152174,0.798626361,0.88228459
RAB24,RAB24,RAB24,2.504779141,0.077424934,0.798626361,2.504779141
GRB2,GRB2,GRB2,1.373125403,0.077931103,0.798626361,-1.373125403
CLSPN,CLSPN,CLSPN,1.500200898,0.078892116,0.798626361,1.500200898
COPS3,COPS3,COPS3,2.307286485,0.078977626,0.798626361,-2.307286485
TOMM70A,TOMM70A,TOMM70A,0.93382026,0.079329115,0.798626361,0.93382026
NCAM2,NCAM2,NCAM2,2.760057179,0.079546458,0.798626361,2.760057179
CTSC,CTSC,CTSC,1.899625465,0.080297466,0.798626361,1.899625465
HSDL2,HSDL2,HSDL2,4.405440276,0.080401906,0.798626361,4.405440276
STRN,STRN,STRN,1.314389224,0.081010023,0.798626361,1.314389224
RpL37A,RpL37A,RpL37A,1.018546916,0.081452493,0.798626361,-1.018546916
ACAA2,ACAA2,ACAA2,0.727085422,0.082223232,0.798626361,0.727085422
RPLP2,RPLP2,RPLP2,1.219066444,0.082711894,0.798626361,1.219066444
RpII215,RpII215,RpII215,1.850813564,0.083333187,0.798626361,-1.850813564
KIAA1147,KIAA1147,KIAA1147,2.098443592,0.08335459,0.798626361,2.098443592
FKBP3,FKBP3,FKBP3,0.780515833,0.083449762,0.798626361,-0.780515833
UAP1,UAP1,UAP1,0.859538874,0.084179675,0.798626361,-0.859538874
TRAF6,TRAF6,TRAF6,1.178686359,0.084298964,0.798626361,-1.178686359
AXDND1,AXDND1,AXDND1,1.965105551,0.085100826,0.798626361,1.965105551
actc1,actc1,actc1,1.150420029,0.087782814,0.798626361,1.150420029
HSPA9,HSPA9,HSPA9,0.869138589,0.088189518,0.798626361,0.869138589
YBX2,YBX2,YBX2,1.290040521,0.088316826,0.798626361,1.290040521
SELENBP1,SELENBP1,SELENBP1,0.600943002,0.088481303,0.798626361,0.600943002
PDIA6,PDIA6,PDIA6,0.719306002,0.089307511,0.798626361,-0.719306002
DHRS12,DHRS12,DHRS12,0.905181786,0.089604955,0.798626361,0.905181786
ENDOV,ENDOV,ENDOV,1.653404029,0.089672311,0.798626361,1.653404029
SOD2,SOD2,SOD2,0.772431744,0.090144054,0.798626361,-0.772431744
GSR,GSR,GSR,0.686927001,0.090273897,0.798626361,-0.686927001
RPL15,RPL15,RPL15,1.220430818,0.090297916,0.798626361,-1.220430818
PDCL3,PDCL3,PDCL3,0.668144871,0.090647434,0.798626361,-0.668144871
MEP1B,MEP1B,MEP1B,1.86346124,0.091090169,0.798626361,1.86346124
ALDH2,ALDH2,ALDH2,0.738853336,0.091713692,0.798626361,0.738853336
CD302,CD302,CD302,0.967049187,0.092914522,0.798626361,0.967049187
NPEPPS,NPEPPS,NPEPPS,1.774732356,0.09300821,0.798626361,1.774732356
BRD2,BRD2,BRD2,0.594542665,0.093420754,0.798626361,-0.594542665
RpS4,RpS4,RpS4,1.61718908,0.0943635,0.798626361,-1.61718908
OSCP1,OSCP1,OSCP1,2.195620178,0.095702984,0.798626361,-2.195620178
THAP4,THAP4,THAP4,0.761037198,0.095977441,0.798626361,-0.761037198
FAM213B,FAM213B,FAM213B,2.561509125,0.09601842,0.798626361,-2.561509125
RPS3,RPS3,RPS3,0.698774193,0.097301906,0.798626361,0.698774193
RPS25,RPS25,RPS25,1.515969165,0.097742533,0.798626361,-1.515969165
MALT1,MALT1,MALT1,0.714674293,0.098173783,0.798626361,-0.714674293
HEPH,HEPH,HEPH,0.935017984,0.098222219,0.798626361,-0.935017984
